cycle_index,battery_id,capacity,soh,capacity_fade_rate,rolling_mean_capacity_10,rolling_std_capacity_10,voltage_at_end,mean_discharge_voltage,voltage_drop,mean_temperature,max_temperature,discharge_duration
1,B0005,1.8564874208181574,100.0,0.0,1.8564874208181574,0.0,3.277169976825196,3.5298286688693397,0.9143218306800986,32.572328114029,38.98218133148803,3690.234
3,B0005,1.846327249719927,99.45272071416714,-0.010160171098230461,1.8514073352690423,0.00508008554911521,3.3002448871222545,3.5373201277859714,0.8895283267243532,32.72523522519307,39.033397966787035,3672.344
5,B0005,1.8353491942234077,98.86138595081705,-0.010569113297374543,1.8460546215871643,0.008631797822270344,3.3274510098686276,3.5437367282719,0.8607357261226758,32.64286193755933,38.818796689817404,3651.641
7,B0005,1.8352625275821128,98.85671763794173,-0.007465273520465248,1.8433565980859012,0.008815834768954808,3.314181858907029,3.5436661072601456,0.8742792599485427,32.51487646204882,38.7623045063458,3631.563
9,B0005,1.8346455082120419,98.82348178817772,-0.005474854735004685,1.8416143801111293,0.008620698813047748,3.30549673128648,3.5423432526672167,0.8828017934745747,32.38234901543077,38.66539257343368,3629.172
11,B0005,1.8356616600675495,98.87821697485944,-0.0039788769976570335,1.840622260103866,0.00817630013505272,3.302329112973759,3.5413347346347575,0.8864866949748449,32.43418218230641,38.75169504640032,3652.281
13,B0005,1.8351461429226603,98.85044855913476,-0.003073524964379118,1.839839957649408,0.007808559249414516,3.2937406695499014,3.5410250495075215,0.8946509683888886,32.480416444757985,38.8207012322275,3650.828
15,B0005,1.8257567905665537,98.34468955151549,-0.003222613899823904,1.8380795617640513,0.008662843272848289,3.3162307407741536,3.554133296801584,0.8726971507378045,32.41046186109587,38.51713023385634,3572.453
17,B0005,1.8247738529891333,98.29174345738105,-0.0031428769815378113,1.836601149677949,0.009175628309672678,3.297410935416153,3.5529355991467955,0.8916183154659678,32.3461408313,38.526267904657,3550.594
19,B0005,1.824613268496936,98.2830935473199,-0.00293961314190096,1.8354023615598478,0.009418427467387974,3.2884044830952868,3.5512057319376997,0.9008189439811312,32.27679750791685,38.52698128472781,3551.25
21,B0005,1.8246195526864504,98.28343204622077,-0.002694837532489294,1.8344221062077208,0.009500080481360494,3.2662755750614747,3.549292319740949,0.9226404808497661,32.15709350345252,38.54143406601644,3530.25
24,B0005,1.8142019357673917,97.72228539894279,-0.0024103735737530468,1.830577971203106,0.00826929089618625,3.296199859463087,3.559759220648976,0.8936763878032288,32.36407129853099,38.52197451768004,3491.016
26,B0005,1.8137521577549054,97.69805803238793,-0.0023161317204811018,1.8276165992062858,0.007924611550201285,3.2717574155336004,3.558081969139198,0.9175293792352033,32.3181954403762,38.582485834057856,3470.281
28,B0005,1.8134404914735822,97.68127007692816,-0.0025387223437609366,1.8256248989563018,0.008465585875897567,3.2648550840850254,3.555692244172496,0.9239826818077028,32.15709029211502,38.520294134873915,3470.0
30,B0005,1.8025980036306504,97.09723768751647,-0.003059710569882652,1.8226553967788959,0.010129543803134442,3.309111201518355,3.562746818017503,0.8799991002501621,32.04407000314609,38.21358592965045,3450.297
32,B0005,1.80210690024615,97.07078432300706,-0.003339727061381336,1.8196973415092694,0.010916672699353895,3.2881490528689254,3.5614521756489204,0.9010630201720544,31.931593674911532,38.1983618706913,3429.407
